ime,gorovje,visina,geografska_sirina,geografska_dolzina,vrsta,st_ogledov,priljubljenost,mesto,st_poti,st_gsp_sledi,opis
Kamnati vrh,Karavanke, 1658,"46,51763°N","13,77643°E", vrh, 268369, 59% ,1109. mesto,2,0,"Kamnati vrh je 1621 m visoka gora, ki se nahaja severno od Kranjske Gore. S travnatega vrha, na katerem je postavljena klop, zaradi bližnjega gozda ni razgleda. <br>Odličen razgled pa se nam odpre, če se z vrha spustimo po travnatem pobočju proti vzhodu. Po približno 5 minutah zmernega spusta stopimo na prijetno razgledišče od koder se nam odpre pogled na Julijske Alpe."

Roblekov dom na Begunjščici,Karavanke, 1657,"46,41783°N","14,21201°E"," koča, bivak, planina", 654642, 99% ,31. mesto,9,1,"Roblekov dom se nahaja na pobočjih Begunjščice na njenem zahodnem grebenu. Dom je stalno odprt v razširjeni poletni sezoni, v drugih letnih časih pa ob koncih tedna, če je lepo vreme. Za domom stoji tudi zimski bivak z osmimi ležišči. Razgled od doma je najlepši na sosednji Stol na katerem se lepo vidi Prešernova koča."

Virnikov Grintovec,Karavanke, 1654,"46,41349°N","14,47887°E", vrh, 520641, 93% ,192. mesto,6,1,"Virnikov Grintovec je 1654 m visoka gora, ki se nahaja severno od Jezerskega, na mejnem grebenu med Slovenijo in Avstrijo. Z vrha, na katerem je vpisna skrinjica in žig, se nam odpre lep razgled na najvišje vrhove Kamniško Savinjskih Alp in osrednje Karavanke."

Visoka Bavha,Karavanke, 1650,"46,5106°N","13,7848°E", vrh, 3189, 24% ,2051. mesto,1,0,"Visoka Bavha je 1650 metrov visok vrh, ki se nahaja v mejnem grebenu Karavank. Z vrha je lepši razgled na avstrijsko stran, saj razgled na Julijske Alpe zastirajo smreke, ki se nahajajo južno od vrha."

Planina Dovška Rožca,Karavanke, 1650,"46,4827°N","13,98722°E"," koča, planina", 428999, 82% ,499. mesto,5,0,"Dovška Rožca je razgledna planina, ki se nahaja na jugozahodnih pobočjih 1891 m visoke Dovške Babe. S planine na kateri stoji pastirska koča odprtega tipa, se nam odpre lep razgled na najvišje vrhove Julijskih Alp, del zahodnih Karavank in delu Gornjesavske doline."

Topica/Topitza,Karavanke, 1649,"46,51639°N","14,67728°E", vrh, 248445, 56% ,1187. mesto,3,0,"Topica oz. po nemško Topitza je 1649 m visok vrh, ki se nahaja severovzhodno od Železne Kaple. Z vrha, na katerem stoji križ, se nam odpre lep razgled na vrhove vzhodnih Karavank in del Kamniško Savinjskih Alp. Vrh ima vpisno skrinjico v kateri je vpisna knjiga, žiga pa ni."

Mala Golica,Karavanke, 1646,"46,4868°N","14,0729°E", vrh, 245978, 56% ,1199. mesto,2,0,"Mala Golica je manj izrazit vrh, ki se nahaja vzhodno od Krvavke. S travnatega vrha, se nam odpre lep razgled na Dravsko dolino, Struško, del Julijskih Alp in bližnjo Krvavko."

Pečovnik,Karavanke, 1640,"46,42406°N","14,44161°E", vrh, 170425, 45% ,1494. mesto,2,0,"Pečovnik je 1640 metrov visok vrh, ki se nahaja v grebenu gora med Košuto in Virnikovim Grintovcem. Z deloma poraščenega vrha se nam odpre lep razgled na gore nad dolino reke Tržiške Bistrice"

Veliki vrh nad Komatevro,Karavanke, 1634,"46,41594°N","14,4326°E", vrh, 176836, 46% ,1469. mesto,1,0,"Veliki vrh nad Komatevro je manj znan vrh, ki se nahaja med Stegovnikom in Plešivcem. Vrh obdaja pas gozda, ki preprečuje neoviran razgled proti Košuti, Kamniško Savinjskim Alpam in Julijcem."

Blekova planina,Karavanke, 1629,"46,5183°N","13,8324°E"," sedlo, bivak, planina", 286308, 62% ,1040. mesto,3,0,"Blekova planina je razgledna planina, ki se nahaja na meji z Avstrijo, točneje med Zajčnikom (tudi Blekova) in grebenom Znotranice). S planine, na kateri stoji avstrijska pastirska koča ""Blekova Hütte"", se nam odpre lep pogled na Dobrač, Dravsko dolino, Trupejevo poldne in del Julijskih Alp. Na podstrešju pastirske koče se nahaja zasilni bivak v katerem je nekaj zasilnih ležišč (ležišča brez vzmetnice in odej). Ob koči sta tudi žig in vpisna skrinjica."

Macna / Matzen,Karavanke, 1627,"46,509°N","14,3624°E", vrh, 151665, 42% ,1567. mesto,4,0,"Macna / Matzen je 1627 metrov visok vrh, ki se nahaja severno od Košute in južno od reke Drave. Z Macne se nam odpre lep pogled na bližnji Obir, Košuto, mejni greben Karavank, del Julijskih, Karnijskih in Ziljskih Alp, Visoke in Nizke ture ter Krške in Labotniške Alpe. Vpisna skrinjica se nahaja na južnem predvrhu, na severnem predvrhu pa stoji križ. Vsi trije vrhovi so med seboj oddaljeni približno 10 do 15 minut."

Jerebikovec,Karavanke, 1621,"46,5146°N","13,76667°E", vrh, 326794, 67% ,885. mesto,1,1,"Jerebikovec je 1621 m visoka gora, ki se dviga vzhodno od Korenskega sedla. Z deloma travnatega vrha, zaradi gozda, ki le tega obdaja ni razgleda."

Ruš,Karavanke, 1614,"46,402°N","14,4365°E", vrh, 193730, 48% ,1401. mesto,4,0,"Ruš je manj znan vrh, ki se nahaja severovzhodno od nekoliko višjega Stegovnika. Z vrha, na katerem se nahaja vpisna skrinjica, se nam odpre lep razgled na greben Košute, Obir, osrednje Kamniško Savinjske Alpe, Bukovec, Kozji vrh, Storžič ter ob lepem vremenu vse do Julijskih Alp."

Sveta peč / Helige Wand,Karavanke, 1613,"46,4561°N","14,2314°E", vrh, 161748, 44% ,1528. mesto,1,0,"Sveta peč, oz.po nemško Helige Wand je 1613 m visok vrh, ki se nahaja na avstrijski strani glavnega grebena Karavank. Z vrha, ki je deloma porasel z gozdom, se nam med krošnjami dreves odpre lep razgled na severna ostenja Palca in grebena Na Možeh."

Čofatijev vrh,Karavanke, 1606,"46,47523°N","14,74992°E", vrh, 950, 16% ,2271. mesto,3,0,"Čofatijev vrh je razgledna gora med dolinama Koprivne in Tople. Z vrha se nam odpre lep pogled na gore nad obema dolinama, ob lepem vremenu pa razgled seže vse do najvišjih vrhov v Kamniško Savinjskih Alpah."

Žingarica / Singerberg,Karavanke, 1589,"46,50054°N","14,25848°E", vrh, 236477, 54% ,1237. mesto,6,0,"Žingarica / Singerberg je vrh, ki se nahaja na avstrijski strani Karavank nad vasjo Slovenji Plajberk / Windisch Bleiberg. Z vrha, ki ga delno prekriva gozd je lep razgled predvsem na severna ostenja osrednjih Karavank."

Rožca,Karavanke, 1587,"46,48071°N","14,01967°E"," sedlo, planina", 417697, 80% ,539. mesto,6,0,"Sedlo Rožca se nahaja na travnatih pobočjih med dvema razglednima vrhovoma (Hruški vrh 1776 m in Klek 1753 m). Le nekaj 10 m pod sedlom, na slovenski južni strani, pa se nahaja manjša lovska koča, ob kateri se nahaja tudi vpisna skrinjica. Z Rožce, ki je bogata z gorskim cvetjem, se nam odpre lep pogled na že omenjena dva vrhova, Mežaklo, Julijske Alpe ter proti severu na avstrijsko stran, kjer lepo vidimo bližnji Koprivnjak."

Bela peč,Karavanke, 1583,"46,37761°N","14,37982°E", vrh, 449329, 84% ,425. mesto,7,0,"Gora, ki je poznana predvsem pri plezalcih se nahaja severno od Storžiča na pobočjih Konjščice. Z vrha je lep pogled na že omenjeni Storžič, Tolsti vrh, greben Kriške gore ter bližnji Veliki Javornik oz. Ženiklovec. Vrh, ki je prepaden na južno stran ima vpisno skrinjico."

Koča na Golici,Karavanke, 1582,"46,48592°N","14,06198°E"," koča, planina", 519389, 93% ,198. mesto,5,0,"Koča se nahaja nad gozdno mejo pod vrhom Golice, natančneje Krvavke. Od koče, ki je odprta od maja do konca poletja, se nam odpre lep razgled proti pobočjem Golice, Krvavke, Struške in večini vrhov, ki obdajajo Gornjesavsko dolino."

Planina Zgornja Dolga njiva,Karavanke, 1580,"46,44029°N","14,43179°E", planina, 361891, 72% ,748. mesto,2,0,Planina leži med Košuto na severu in Plešivcem na jugu. Ob padavinah po dnu dolinice teče lep potoček. Lep je pogled proti Tolsti Košuti.

Planina Zgornja Konjščica,Karavanke, 1578,"46,38048°N","14,37426°E"," sedlo, planina", 201891, 49% ,1370. mesto,2,0,"Planina Zgornja Konjščica se nahaja severozahodno od Bele peči (1583 m). S planine, na kateri se nahaja nekaj manjših napajališč za živali se nam odpre lep pogled proti Storžiču, Tolstemu vrhu in grebenu Kriške gore."

Ojstra / Oistra,Karavanke, 1577,"46,5099°N","14,6433°E", vrh, 1510, 20% ,2176. mesto,1,0,Ojstra je razgleden vrh nad Železno Kaplo. Na vrhu se nahaja dvojni lesen križ. na njem pa kovinska vpisna skrinjica.

Psinski vrh / Sinacher Gupf ,Karavanke, 1577,"46,49439°N","14,19209°E", vrh, 217775, 52% ,1307. mesto,4,0,"Psinski vrh / Sinacher Gupf je vrh, ki se nahaja severno od glavne verige Karavank točneje severno od Stola in Vrtače (še bolj severno kot Ovčji vrh / Geissberg). Z vrha na katerem stoji križ je lep razgled proti Vajnežu in Struški, za Struško pa opazimo del Julijcev od Škrlatice do Špika. Ker pa je vrh delno poraščen ni popolnega razgleda na severno stran a se z malo truda vidi del avstrijskih Alp in pod njimi del Dravske doline. Vrh ima tudi vpisno skrinjico, mizo in klop."

Planina Zgornja Luža,Karavanke, 1573,"46,50415°N","14,72898°E", planina, 132531, 39% ,1640. mesto,2,0,"Planina Zgornja Luža se nahaja na avstrijski strani zahodnega obrobja Pece. S planine na kateri stoji lovska koča se nam odpre lep razgled, ki seže vse od Kamniško Savinjskih Alp do zahodnih Karavank in dela Julijcev."

Vgrizeva planina / Ogrisalm,Karavanke, 1569,"46,45645°N","14,19807°E", planina, 203916, 50% ,1364. mesto,4,0,"Vgrizeva planina se nahaja pod manj znanim vrhom imenovanim Kosmatica nad dolino Poden / Bodental. S planine, na kateri stoji pastirska koča je lep razgled proti Ovčjemu vrhu / Geissberg in Vrtači."

Veška planina / Wackendorfer Alm,Karavanke, 1568,"46,5233°N","14,7243°E"," koča, cerkev, planina", 135002, 40% ,1631. mesto,1,0,"Veška planina oz. po nemško Wackendorfer Alm je še živeča planina, ki se nahaja na severozahodnem delu Pece. S planine, na kateri se nahaja manjša kapela ter ob njej pastirska koča odprtega tipa, zaradi bližnjega gozda ni lepšega razgleda. "

Rekaršica,Karavanke, 1554,"46,5163°N","13,77312°E", sedlo, 190325, 48% ,1416. mesto,2,0,"Sedlo Rekaršica (na zemljevidu Kranjske Gore označeno Rekaršca) se nahaja med Jerebikovcem (1621 m) in Kamnatim vrhom (1658 m). Na avstrijski strani sedla se nahaja manjša pastirska koča in ob njej prijetna klop z mizo. <br>Za razgled se moramo nekoliko povzpeti po gozdni cesti, s katere se nam nato odpre lep pogled proti Jalovcu, Poncam in Mangartu."

Planina Korošica,Karavanke, 1554,"46,43416°N","14,29156°E"," koča, planina", 572287, 97% ,94. mesto,6,0,"Planina Korošica se nahaja na jugozahodnih pobočjih 1968 m visoke Košutice. S planine, na kateri stoji pastirska koča odprtega tipa (v koči je možno dobiti kavo, čaj, mlečne izdelke, ajdove žgance in še kaj) se nam odpre lep razgled na že omenjeno Košutico, Veliki vrh v Košuti, Zajmenove peči, Begunjščici ter delu goram nad Zelenico."

Kapelška koča / Eisenkappler Hütte,Karavanke, 1553,"46,50176°N","14,51047°E"," koča, planina", 263818, 58% ,1128. mesto,7,0,"Kapelška koča / Eisenkappler Hütte se nahaja na vzhodnem pobočju Obirja na avstrijski strani Karavank. Skoraj do koče, ki je odprta v turistični sezoni pripelje asfaltirana gorska cesta. Pri koči je nekaj informativnih tabel, ki nam povedo nekaj o zgodovini teh krajev (bližnji rudnik, stara koča in drugo). "

Stara gora / Altberg,Karavanke, 1552,"46,5248°N","14,5307°E", vrh, 560, 12% ,2376. mesto,2,0,"Stara gora je 1552 metrov visok vrh, ki se nahaja severovzhodno od Ojstrca, najvišjega vrha Obirja. Na vrhu sta postavljena lesen križ in klopca, med njima pa vpisna skrinjica z vpisno knjigo iz leta 1981. Če se obisk vrha ne bo bistveno povečal in če se bo s knjigo lepo ravnalo, bo knjiga v vpisni skrinjici služila namenu še nekaj desetletij."

Petelinjek (nad Korenskim sedlom),Karavanke, 1552,"46,5184°N","13,7337°E", vrh, 1990, 22% ,2124. mesto,2,0,"Petelinjek je manjši greben, ki se nahaja zahodno do jugozahodno od Korenskega sedla. Greben se večinoma nahaja na slovenski strani, le najvišji vrh meji na sosednjo Avstrijo. Sam vrh deloma prerašča gozd, se nam pa od mesta, do kamor pripelje vlečnica iz avstrijske strani, odpre lep pogled na del zahodnih Julijskih Alp, Karnijske Alpe, Ziljske Alpe, Krške Alpe, ob lepi vidljivosti pa razgled seže vse do Visokih Tur. Na vrhu se nahaja mejni kamen s št. XXVII 263."

Špičasti vrh / Spitzberg,Karavanke, 1551,"46,4734°N","14,6846°E", vrh, 690, 14% ,2333. mesto,1,0,"Špičasti vrh / Spitzberg je 1551 metrov visok vrh, ki se nahaja nad Maroldčevo planino / Maroldalm. Ker se vrh nahaja v gozdu z njega ni lepšega razgleda."

Planina Javornik,Karavanke, 1550,"46,37633°N","14,39668°E", planina, 414592, 80% ,552. mesto,4,0,"Planina Javornik je razgledna ter še živeča planina, ki se nahaja pod vrhom 1716 m visokega Velikega Javornika oz. Ženiklovca. S planine, na kateri stoji nekaj lesenih koč, se nam odpre lep razgled na Storžič, Tolsti vrh, Julijske Alpe, Karavanke s Stolom in Košuto, bližnjo Belo peč ter že omenjeni Ženiklovec. "

Ptičji vrh,Karavanke, 1550,"46,48527°N","14,08835°E", vrh, 358999, 72% ,756. mesto,2,0,"Ptičji vrh je 1550 m visoka gora, ki se nahaja med Struško in Golico. Z vrha, ki meji med Slovenijo in Avstrijo, se nam odpre lep razgled na Dravsko dolino, del Karavank in Julijske Alpe."

Snežnik (nad Koprivno),Karavanke, 1543,"46,4743°N","14,6977°E", vrh, 940, 16% ,2273. mesto,1,0,"Snežnik je 1543 metrov visok vrh, ki se nahaja na meji med Slovenijo in Avstrijo. Na vrhu stoji mejni kamen z napisom Snežnik 1543 m, nekoliko pod vrhom v smeri proti severu, pa se nam odpre lep razgled na avstrijski del Karavank."

Sveta Ana (Macna) / St. Anna (Matzen),Karavanke, 1536,"46,5135°N","14,3614°E", cerkev, 145684, 41% ,1590. mesto,3,0,"Cerkev sv. Ane se nahaja severno od vrha Macna / Matzen, na avstrijski strani Karavank. Od cerkvice se nam odpre lep razgled predvsem proti zahodu in vzhodu, na ostale strani razgled ovira gozd. Pri cerkvi so tudi vpisna skrinjica, vpisna knjiga in žig."

Dom na Zelenici,Karavanke, 1536,"46,42899°N","14,23357°E", koča, 583879, 97% ,81. mesto,6,0,"Dom na Zelenici (planinska koča II. kategorije) je planinska postojanka, ki stoji na Zeleniškem sedlu med obmejnim grebenom Na Možeh na severu in ostenjem Begunjščice na jugu. Območje Zelenice je znano zimskošportno središče.<br>Dom je odprt od petka popoldne do nedelje zvečer in vse praznike (dan pred praznikom popoldne do zadnjega dneva praznikov zvečer). Za skupine tudi po dogovoru.<br>Ležišča v sobah - 70  (1 x 2-posteljna soba, 1 x 3-posteljna soba, 1 x 4-posteljna soba, 3 x 5-posteljna soba, 2 x 8-posteljna soba, 3 x 10-posteljna soba-skupna ležišča),dodatna zasilna ležišča v primeru zasedenosti koče.<br>Jedilnica 70 sedežev<br>Predavalnica 30 sedežev<br>Obiskovalcem koče je na voljo brezplačen brezžični dostop do interneta, ki bo koristen predvsem za potrebe izvajanja dejavnosti Gorniškega učnega centra.<br>Zgodovina: Dom stoji na mali ravnici Zeleniškega sedla med severnim ostenjem Begunjščice in južnim pobočjem obmejnega grebena Na Možeh. Prvo kočo na Zelenici je leta 1929 zgradilo pet zasebnikov, vendar je niso hoteli dati v najem Tržiški podružnici SPD; koča je bila med okupacijo požgana. Leta 1950 so začeli graditi planinski dom delavci šole milice, ki je bila takrat v Begunjah; nedokončani dom je 15. decembra 1952 prevzelo v najem PD Tržič, ki ga je zasilno usposobilo in naslednje leto tudi odprlo. S pogodbo med RSNZ, ki je bil lastnik zgradbe, in PZS, je 24. julija 1962 dobilo PD Tržič objekt v trajno last. Postojanko so po prevzemu popolnoma dokončali in opremili ter jo slovesno odprli 19. januarja 1966. Leta 1992 so nadzidali vhodni prizidek in s tem pridobili učno sobo. Dom je decembra 1999 popolnoma pogorel. Društvo ga je obnovilo, zgradilo in je od leta 2011 ponovno odprt.<br>Dom ima tudi Gorniški učni center Zelenica, ki ga vodi Stanko Koblar, 040 627 808.<br>Razgledi: Od doma ali s kake bližnje razglednejše točke je zaradi bližnjih vrhov in grebenov omejen, a je zato pogled na bližnjo okolico toliko lepši. Od bližnje zgornje postaje sedežnice se odpre razgled na kamnito planoto med grebenom Ljubeljščice na severu in ostenji Begunjščice na južni strani planote, po kateri je speljana sedežnica ter naprej proti Šentanski dolini, nad katero se dviguje zahodni del Košute; celotno južno stran izpolnjujejo ostenja Begunjščice; na zahodni strani je valovita dolina Zelenica, nad njo se dviga Srednji vrh, ki zakriva pogled proti Stolu; na severozahodu je Vrtača; severno stran obroblja greben Na Možeh. Če se povzpnemo na razgledni vrh grebena, se odpre lep razgled na hribovito koroško pokrajino proti Dravi."

Zavetišče na planini Šija,Karavanke, 1528,"46,42456°N","14,33543°E"," koča, planina", 455741, 85% ,394. mesto,3,0,Planina se nahaja na južnih pobočjih Košute pod Malim Kladivom. S planine na kateri je postavljeno prijetno planinsko zavetišče je lep pogled proti Kamniško Savinjskim Alpam in delu Košute.

Koča Berta / Bertahütte,Karavanke, 1527,"46,5182°N","13,9604°E", koča, 420, 10% ,2430. mesto,4,0,"Koča Berta / Bertahütte se nahaja pod vrhom Kamnica / Ferlacher Spitze, v bližini sedla med Kepo in omenjenim vrhom. Od koče se nam odpre lep pogled proti Kepi in proti zahodu, na ostale strani razgled ovira gozd."

Šoparjev vrh,Karavanke, 1524,"46,48606°N","14,74105°E", vrh, 480, 11% ,2409. mesto,3,0,"Šoparjev vrh je 1524 metrov visoka gora, ki se nahaja med Olševo in Peco, točneje na grebenu, ki loči dolino Koprivno od doline Tople. Z vrha se nam odpre lep pogled proti peci, Topli in okoliškim goram."

Mejnik,Karavanke, 1517,"46,4537°N","14,3961°E", vrh, 160116, 43% ,1535. mesto,3,0,"Mejnik je 1517 metrov visok vrh, ki se nahaja na avstrijski strani Karavank, točneje v stranskem grebenu Košute. Na vrhu, ki se nahaja v gozdu je postavljen mejnik, nekoliko južno od vrha pa še manjši križ. S pašnika v bližini vrha, pa se nam odpre lep razgled na severna ostenja Košute in sicer najlepše vidimo Košutnikov turn in Macesje."

Požgani rob,Karavanke, 1513,"46,4579°N","14,2222°E", vrh, 153639, 42% ,1560. mesto,1,0,"Požgani rob je 1513 m visoka gora, ki se nahaja severno od Rjavce. Vrh obdaja gozd, tako da z njega ni lepšega razgleda, se nam pa odpre lep razgled, z razgledne točke nekaj 10 m pod vrhom."

Planica,Karavanke, 1508,"46,48348°N","13,94063°E", vrh, 332894, 68% ,863. mesto,3,0,"Planica je manj znan, a razgleden vrh, ki se nahaja južno od glavnega grebena Karavank, točneje med Kepo in Dovjem. Z vrha, na katerem je od leta 2008 postavljena tudi manjša vpisna skrinjica, se nam odpre lep razgled proti Rjavini, Triglavu, Stenarju, Kukovi špici, Špiku, Mangartu, Kepi, Dovški Babi, Jerebikovcu in ostalim okoliškim vrhovom."
